url,title,time,narrative
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/moveph/un-grills-aquino-government-on-continued-political-killings&sa=U&ved=2ahUKEwiCnLm5-rXrAhWLHqYKHXPCCcY4KBAWMAJ6BAgIEAI&usg=AOvVaw17c3h_-DJZpnRI8JuHzOfv,UN grills PNoy govt on continued political killings,,"The Aquino administration needs to implement enforceable and time-bound measures to end abuses and ensure that those who commit them are prosecuted,"
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/cop-marikina-accused-murder-planting-evidence-ejk-case&sa=U&ved=2ahUKEwiCnLm5-rXrAhWLHqYKHXPCCcY4KBAWMAN6BAgJEAI&usg=AOvVaw0BS3QkanwWmx7P8xAKhrTf,"Marikina cop accused of murder, planting evidence in ‘EJK’ case",,"extrajudicial killing
5 to 7 witnesses"
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/newsbreak/fact-check/inquirer-pieta-photo-raffy-lerma-michael-siaron-pnp&sa=U&ved=2ahUKEwiCnLm5-rXrAhWLHqYKHXPCCcY4KBAWMAR6BAgCEAI&usg=AOvVaw3rysSBMsQUhM2fLoyo2PJK,FACT CHECK: Did Inquirer say man in 'Pietà' photo was killed by PNP?,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/families-war-on-drugs-victims-new-complaint-international-criminal-court-vs-duterte&sa=U&ved=2ahUKEwiCnLm5-rXrAhWLHqYKHXPCCcY4KBAWMAV6BAgGEAI&usg=AOvVaw3RVZLc0Uvi8qBvdgwtZyA4,Duterte faces new complaint before Int'l Criminal Court,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/randy-echanis-one-of-stabbing-victims-quezon-city&sa=U&ved=2ahUKEwiCnLm5-rXrAhWLHqYKHXPCCcY4KBAWMAZ6BAgFEAI&usg=AOvVaw2i3WHcf-9g2gQzMGdQtTUL,Lawyer confirms Randy Echanis is one of QC stabbing victims,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/philippines-president-duterte-do-not-allow-extrajudicial-killings&sa=U&ved=2ahUKEwiCnLm5-rXrAhWLHqYKHXPCCcY4KBAWMAd6BAgEEAE&usg=AOvVaw0VpGqKkhVimPRE7Sin30YL,Duterte on killings: Do you think I enjoy that?,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/undas-2017-drug-war-victims-killings-justice&sa=U&ved=2ahUKEwiCnLm5-rXrAhWLHqYKHXPCCcY4KBAWMAh6BAgAEAI&usg=AOvVaw3Ym4f6aoZnLQtxSRuxrylO,Undas 2017: 'Drug war victims crying for justice',,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/newsbreak/in-depth/justice-elusive-war-on-drugs-duterte-second-year&sa=U&ved=2ahUKEwiCnLm5-rXrAhWLHqYKHXPCCcY4KBAWMAl6BAgBEAI&usg=AOvVaw2mi-LrL40IVy7-h_twYGBx,Climate of fear: Justice remains elusive 2 years into Duterte's drug war,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/bishop-extrajudicial-killings-crime-huwag-papatay&sa=U&ved=2ahUKEwjWs8vQ-rXrAhUQO3AKHfHhCAk4MhAWMAB6BAgAEAI&usg=AOvVaw29LjCsfiaGxs_-nqTgUEif,Manila bishop on killings: Crime can't stop crime,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/newsbreak/iq/timeline-killings-in-negros&sa=U&ved=2ahUKEwjWs8vQ-rXrAhUQO3AKHfHhCAk4MhAWMAF6BAgJEAI&usg=AOvVaw09UYMWJ8FHCnNyzavLQTjd,TIMELINE: Killings in Negros,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/moveph/families-extrajudicial-killings-victims-christmas-not-same&sa=U&ved=2ahUKEwjWs8vQ-rXrAhUQO3AKHfHhCAk4MhAWMAJ6BAgIEAI&usg=AOvVaw1uA5zYs7uk_NzybF6zNAg1,"For families of EJK victims, Christmas will no longer be the same",,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/voices/thought-leaders/comparing-extrajudicial-killings-philippines-united-states&sa=U&ved=2ahUKEwjWs8vQ-rXrAhUQO3AKHfHhCAk4MhAWMAN6BAgHEAI&usg=AOvVaw0efV5Wo_s02tpdzQ9GpeZK,Comparing extrajudicial killings in the Philippines and US,,browning
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/mr-ms-pup-engineering-pageant-canceled-extrajudicial-killings&sa=U&ved=2ahUKEwjWs8vQ-rXrAhUQO3AKHfHhCAk4MhAWMAR6BAgEEAI&usg=AOvVaw3tcDWq9AlvNN1F_2UwO0m2,PUP engineering dean: Pageant canceled over EJK-themed pics,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/different-undas-remembrance-victims-drug-war-sampaloc&sa=U&ved=2ahUKEwjWs8vQ-rXrAhUQO3AKHfHhCAk4MhAWMAV6BAgDEAE&usg=AOvVaw0mzOr43GpW5z2zR9ljOM16,A different Undas: Remembering the victims of the drug war,,"For the first time, I am able to speak without others judging me. I am with people who understand me.
comparable to none,” Mananzan said. “The only people who could comprehend your pain are the same people who experienced it.
Now we can joke around and talk about things other than our trauma,
Juana Change,"
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/de-lima-undas-extrajudicial-killings-too-loud-to-ignore&sa=U&ved=2ahUKEwjWs8vQ-rXrAhUQO3AKHfHhCAk4MhAWMAZ6BAgGEAI&usg=AOvVaw2YixYHNvOaNHv4MBb36Pvf,"De Lima on Undas: Cries, pleas of thousands killed 'too loud to ignore'",,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/police-shoot-dead-farmer-agusan-del-norte-coronavirus&sa=U&ved=2ahUKEwjWs8vQ-rXrAhUQO3AKHfHhCAk4MhAWMAd6BAgFEAI&usg=AOvVaw3MK1XmXEFHBbbnzThQYQhq,Police shoot dead farmer who attacks them at Agusan del Norte checkpoint,,"Someone who would be arrested could be subdued without having to use a firearm,"
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/newsbreak/in-depth/duterte-year-4-climate-fear-impunity-blocks-justice-drug-war-victims&sa=U&ved=2ahUKEwjWs8vQ-rXrAhUQO3AKHfHhCAk4MhAWMAh6BAgCEAI&usg=AOvVaw3CGLOD4uYbccHOnJJQP8sZ,"4 years on, climate of fear and impunity blocks justice for Duterte’s drug war victims",,a little bit of a glimmer of hope
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/ombudsman-fact-finding-investigation-kian-loyd-delos-santos-death&sa=U&ved=2ahUKEwjWs8vQ-rXrAhUQO3AKHfHhCAk4MhAWMAl6BAgBEAI&usg=AOvVaw17PONVExxkNFl9ygzvjqK1,Ombudsman starts own probe into Kian delos Santos' death,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/newsbreak/iq/philippines-president-rodrigo-duterte-statements-shoot-to-kill-drug-war&sa=U&ved=2ahUKEwi9yKrm-rXrAhXkKKYKHWpEBLE4PBAWMAB6BAgAEAI&usg=AOvVaw0Qb4xfDW_0f0eAHXis6Deg,Shoot to kill? Duterte's statements on killing drug users,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/malacanang-tells-fr-amado-picardal-file-writ-amparo&sa=U&ved=2ahUKEwi9yKrm-rXrAhXkKKYKHWpEBLE4PBAWMAF6BAgIEAI&usg=AOvVaw3-lAnEHwruJ74m-53WqznJ,Malacañang tells activist priest to file writ of amparo,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/more-families-complaint-policemen-ombudsman-extrajudicial-killings&sa=U&ved=2ahUKEwi9yKrm-rXrAhXkKKYKHWpEBLE4PBAWMAN6BAgJEAI&usg=AOvVaw0e11x9PF3CYBe5lBs4gMxY,"Despite fear, more families file EJK complaints",,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/human-rights-groups-statements-conviction-kian-delos-santos-killers&sa=U&ved=2ahUKEwi9yKrm-rXrAhXkKKYKHWpEBLE4PBAWMAR6BAgFEAI&usg=AOvVaw2ejXfsXBfsC1QZ8_WZKBLN,Gov't urged to ensure justice for other victims like Kian delos Santos,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/human-rights-groups-statements-conviction-kian-delos-santos-killers&sa=U&ved=2ahUKEwi9yKrm-rXrAhXkKKYKHWpEBLE4PBAWMAR6BAgFEAI&usg=AOvVaw2ejXfsXBfsC1QZ8_WZKBLN,Gov't urged to ensure justice for other victims like Kian delos Santos,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/newsbreak/iq/list-false-claims-juan-ponce-enrile-martial-law&sa=U&ved=2ahUKEwi9yKrm-rXrAhXkKKYKHWpEBLE4PBAWMAZ6BAgGEAE&usg=AOvVaw0QA7nDmrgo7J8P9XcwpxLs,LIST: False claims of Juan Ponce Enrile on Martial Law,,"not true
Name me one person that was arrested because of political or religious belief during that period. None…. Name me one person that was arrested simply because he criticized President Marcos. None,
trumped-up charges
It started when they invented the Jabidah massacre. I say invented because until now, I have not heard anyone who complained about anyone being massacred in Corregidor. No one. The only one who appeared as a member of the supposed Muslim trainees in Corregidor was that fellow who swam across Corregidor to Cavite, which was the invention of Montano and Ninoy Aquino. Because of that political outburst of Ninoy, we lost Sabah. That Jabidah massacre injured the political stature of the Marcos regime, followed by the Plaza Miranda grenading in 1971,"
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/robredo-duterte-remark-extrajudicial-killings-joke-insult-victims-families&sa=U&ved=2ahUKEwi9yKrm-rXrAhXkKKYKHWpEBLE4PBAWMAd6BAgBEAI&usg=AOvVaw3JKNwvLFmsC56VeAG764Xt,Duterte's EJK remark a joke? Robredo calls it an insult,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/aguirre-de-lima-safety-jail&sa=U&ved=2ahUKEwi9yKrm-rXrAhXkKKYKHWpEBLE4PBAWMAh6BAgEEAI&usg=AOvVaw25fthqnc6zeYgHqq52EZuI,Aguirre '99% sure' De Lima won't be killed in jail,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/undas-2017-traffic-security-situation-cemeteries&sa=U&ved=2ahUKEwi9yKrm-rXrAhXkKKYKHWpEBLE4PBAWMAl6BAgDEAI&usg=AOvVaw0N6NLIdvVDz-Hl9MwpUMN_,IN PHOTOS: 'Relatively peaceful' Undas 2017 for Filipinos,,"We are happy that the public is cooperating with the police even with the strict security measures we are implementing in cemeteries,"
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/families-duterte-government-killed-loved-ones-not-drug-problem-philippines&sa=U&ved=2ahUKEwjd39T5-rXrAhWBMN4KHe6TAGk4RhAWMAB6BAgBEAI&usg=AOvVaw1aIEUXjW_YMsyX7_-QmCNr,"Families to Duterte gov't: You killed our loved ones, not the drug problem",,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/torture-martial-law-marcos-regime&sa=U&ved=2ahUKEwjd39T5-rXrAhWBMN4KHe6TAGk4RhAWMAF6BAgJEAE&usg=AOvVaw3xrHY7KJ2_DtUnwRO0kM3I,Worse than death: Torture methods during martial law,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/how-kian-delos-santos-was-killed-according-to-police&sa=U&ved=2ahUKEwjd39T5-rXrAhWBMN4KHe6TAGk4RhAWMAJ6BAgIEAI&usg=AOvVaw3aobKhnEGnjmvIvPwnOdSy,"How Kian delos Santos was killed, according to police",,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/majority-filipinos-think-dangerous-publish-things-critical-duterte-admin-sws&sa=U&ved=2ahUKEwjd39T5-rXrAhWBMN4KHe6TAGk4RhAWMAN6BAgHEAI&usg=AOvVaw073zZby90Themm98Y6ezYP,Majority of Filipinos think it's dangerous to publish anything critical of Duterte admin,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/newsbreak/data-documents/full-report-united-nations-human-rights-report-philippines-extrajudicial-drug-war-killings&sa=U&ved=2ahUKEwjd39T5-rXrAhWBMN4KHe6TAGk4RhAWMAR6BAgCEAI&usg=AOvVaw3-Pol7pGdCac1-XREIHzZR,"DOCUMENT: U.N. Human Rights report on killings, abuses in PH",,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/zamboanga-norte-bishop-peace-extrajudicial-killings&sa=U&ved=2ahUKEwjd39T5-rXrAhWBMN4KHe6TAGk4RhAWMAV6BAgFEAI&usg=AOvVaw0kYeoodEnVlH4WVRMPCTOt,Zambo Norte bishop: Peace? Solve killings first,,"For the people of God especially the families of the victims and those who choose to be silent because of fear, we are at your side, we feel your pain and we are one with you in prayer that justice be attained,
wheels of justice run its course.
desecrate the basic dignity of life, the rule of law and the family.
limbo"
